WELLNAME = well95
STDEP  =  3000.0000    
ENDEP  =  4137.0313    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, DEN, GR, RT, SP

#DEPTH       AC           CAL          DEN          GR           RT           SP           
3025.1250    46.7693      22.5564      0.0000       11.5595      1416.4778    86.4572      
3025.2500    46.9145      22.5576      0.0000       10.1050      1043.2048    86.5171      
3025.3750    47.0596      22.6065      0.0000       8.2710       655.9885     86.7163      
3025.5000    47.4467      22.6242      0.0000       8.0188       434.1354     86.7766      
3025.6250    48.1242      22.5777      0.0000       8.3361       315.9219     86.8962      
3025.7500    48.6081      22.5165      0.0000       8.5902       257.9451     86.9959      
3025.8750    49.4307      22.5019      0.0000       8.0217       214.0983     87.1354      
3026.0000    49.8178      22.5031      0.0000       8.5289       180.1497     87.2355      
3026.1250    50.0596      22.4570      0.0000       10.1753      162.2440     87.3154      
3026.2500    49.5272      22.3951      0.0000       11.6317      176.4717     87.4550      
3026.3750    48.7529      22.3810      0.0000       13.5944      202.7855     87.5547      
3026.5000    48.3174      22.3821      0.0000       13.7220      249.6714     87.6350      
3026.6250    47.6399      22.3835      0.0000       10.6854      297.4414     87.7150      
3026.7500    47.2527      22.3848      0.0000       7.7754       396.3524     87.7952      
3026.8750    47.3494      22.4334      0.0000       9.2319       524.2665     87.8756      
3027.0000    47.9784      22.4507      0.0000       7.9673       565.7961     87.9555      
3027.1250    48.3171      22.4996      0.0000       9.0441       487.1358     88.0358      
3027.2500    48.8976      22.5168      0.0000       11.9561      431.0668     88.0564      
3027.3750    48.8008      22.5183      0.0000       11.6408      400.2990     88.1168      
3027.5000    48.3652      22.5201      0.0000       10.5025      435.5830     88.1971      
3027.6250    47.9298      22.4738      0.0000       12.4021      519.4836     88.2176      
3027.7500    47.5427      22.3643      0.0000       11.5804      680.7950     88.2187      
3027.8750    47.3975      22.2865      0.0000       12.3408      966.4057     88.2796      
3028.0000    47.8328      22.2246      0.0000       12.2785      1348.2532    88.3001      
3028.1250    47.9779      22.2103      0.0000       11.8997      1460.1328    88.3011      
3028.2500    47.8327      22.2121      0.0000       13.1665      1132.4302    88.3616      
3028.3750    47.5908      22.2609      0.0000       15.0661      886.3964     88.3825      
3028.5000    47.4456      22.3254      0.0000       15.6367      802.1340     88.3832      
3028.6250    47.3004      22.3903      0.0000       15.7011      866.6650     88.4436      
3028.7500    47.3004      22.4073      0.0000       15.0059      960.6829     88.5239      
3028.8750    47.6873      22.5041      0.0000       16.5259      1089.7338    88.5449      
3029.0000    47.9291      22.5367      0.0000       15.3243      1273.4480    88.6054      
3029.1250    48.0742      22.5861      0.0000       14.6292      1388.5536    88.6259      
3029.2500    48.1709      22.6032      0.0000       13.1747      1175.6091    88.6862      
3029.3750    47.9532      22.6521      0.0000       12.5428      1095.7944    88.7665      
3029.5000    47.6387      22.6691      0.0000       13.9995      1075.5719    88.7870      
3029.6250    47.6145      22.6702      0.0000       14.0637      1132.9757    88.8474      
3029.7500    47.7112      22.6242      0.0000       13.3684      1277.2538    88.9870      
3029.8750    47.7837      22.6104      0.0000       15.1418      1432.2607    89.0871      
3030.0000    47.6869      22.5640      0.0000       16.7249      1528.7434    89.2271      
3030.1250    47.5659      22.5026      0.0000       15.6500      1310.5853    89.2671      
3030.2500    47.4450      22.4878      0.0000       13.7523      1143.4121    89.3274      
3030.3750    47.4208      22.4413      0.0000       13.1838      1011.7018    89.4670      
3030.5000    47.6141      22.4273      0.0000       13.8176      863.8169     89.5671      
3030.6250    47.9043      22.3813      0.0000       13.9452      696.5435     89.6470      
3030.7500    48.1944      22.3670      0.0000       15.9084      502.3758     89.7865      
3030.8750    48.5328      22.3680      0.0000       16.8589      397.9180     89.9463      
3031.0000    48.7504      22.3700      0.0000       15.7205      345.4756     89.9867      
3031.1250    48.7261      22.3710      0.0000       16.0380      309.8145     90.1063      
3031.2500    48.4359      22.3720      0.0000       15.2162      310.8633     90.2062      
3031.3750    48.0490      22.3736      0.0000       14.0778      326.1615     90.3458      
3031.5000    47.7830      22.3756      0.0000       12.8762      347.4149     90.3862      
