WELLNAME = well120
STDEP  =  3500.0000    
ENDEP  =  4473.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3509.0000    49.0457      23.6339      30.4169      48.8722      15.6824      649.7959     683.9106     0.0000       84.2044      0.0000       0.0000       
3509.1250    49.1430      23.6577      28.8792      48.9261      15.7828      819.6995     793.2711     0.0000       84.2341      0.0000       0.0000       
3509.2500    49.3077      23.7005      28.2506      49.0173      15.8738      897.7403     914.7266     0.0000       84.2401      0.0000       0.0000       
3509.3750    49.4757      23.7119      31.4862      49.1103      15.9331      620.9922     534.9315     0.0000       84.2384      0.0000       0.0000       
3509.5000    49.7013      23.7105      32.6761      49.2352      15.9925      421.0798     419.9796     0.0000       84.2607      0.0000       0.0000       
3509.6250    50.0866      23.7280      30.8352      49.4485      16.0360      335.2079     325.6315     0.0000       84.3380      0.0000       0.0000       
3509.7500    50.2588      23.7517      28.9691      49.5438      16.0544      261.8600     252.6661     0.0000       84.4311      0.0000       0.0000       
3509.8750    49.9564      23.7380      29.9065      49.3764      15.9146      187.6430     203.1065     0.0000       84.5478      0.0000       0.0000       
3510.0000    49.7133      23.7123      30.8254      49.2419      15.9090      136.2863     194.5229     0.0000       84.4164      0.0000       0.0000       
3510.1250    49.9116      23.6539      28.8830      49.3516      15.4992      118.8539     203.6348     0.0000       84.4398      0.0000       0.0000       
3510.2500    49.8571      23.6198      26.5863      49.3214      15.1981      123.3465     235.3652     0.0000       84.5639      0.0000       0.0000       
3510.3750    49.7389      23.5596      25.1488      49.2560      14.9945      138.5454     281.0264     0.0000       84.7184      0.0000       0.0000       
3510.5000    49.6559      23.4679      23.4837      49.2101      14.8225      165.6120     309.4128     0.0000       84.8329      0.0000       0.0000       
3510.6250    49.6691      23.3700      22.4255      49.2173      14.6599      196.6490     331.9743     0.0000       84.9560      0.0000       0.0000       
3510.7500    49.7317      23.3102      24.1226      49.2520      14.5543      234.3964     359.9959     0.0000       85.0868      0.0000       0.0000       
3510.8750    49.7190      23.2625      25.9208      49.2450      14.5341      284.7404     391.6073     0.0000       85.1940      0.0000       0.0000       
3511.0000    49.3758      23.2151      25.1155      49.0550      14.5643      346.0419     469.0550     0.0000       85.2927      0.0000       0.0000       
3511.1250    49.0539      23.1681      26.4585      48.8768      14.6134      421.9602     577.7519     0.0000       85.3444      0.0000       0.0000       
3511.2500    48.8443      23.1392      25.5772      48.7608      14.6754      650.5289     673.4807     0.0000       85.4040      0.0000       0.0000       
3511.3750    48.7504      23.0979      28.0579      48.7087      14.7497      680.1724     649.6588     0.0000       85.4727      0.0000       0.0000       
3511.5000    48.7248      23.0886      27.0249      48.6946      14.8180      594.1069     576.6750     0.0000       85.5155      0.0000       0.0000       
3511.6250    48.7766      23.0919      26.3463      48.7233      14.8639      525.0646     500.4809     0.0000       85.5748      0.0000       0.0000       
3511.7500    48.8892      23.1139      28.1951      48.7856      14.8752      457.4603     458.9283     0.0000       85.6661      0.0000       0.0000       
3511.8750    48.9714      23.1425      29.9933      48.8311      14.7822      403.9292     445.0161     0.0000       85.7660      0.0000       0.0000       
3512.0000    49.0949      23.1713      29.9457      48.8995      14.6197      373.2967     421.4974     0.0000       85.8420      0.0000       0.0000       
3512.1250    49.2456      23.1990      27.4215      48.9829      14.4256      412.8263     439.1468     0.0000       85.8850      0.0000       0.0000       
3512.2500    49.3390      23.2088      25.2255      49.0346      14.3862      530.0422     467.9306     0.0000       85.9440      0.0000       0.0000       
3512.3750    49.3723      23.2115      23.0305      49.0530      14.3723      924.4180     504.4241     0.0000       85.9879      0.0000       0.0000       
3512.5000    49.2733      23.2153      24.6257      48.9983      14.3298      1240.3975    586.6266     0.0000       86.0475      0.0000       0.0000       
3512.6250    49.1467      23.2371      25.1600      48.9282      14.3096      1531.2589    667.1507     0.0000       86.0928      0.0000       0.0000       
3512.7500    49.0365      23.2840      24.6327      48.8671      14.2987      2169.4998    736.9362     0.0000       86.1043      0.0000       0.0000       
3512.8750    49.1384      23.3186      25.1669      48.9236      14.3163      2970.6699    804.8959     0.0000       86.1088      0.0000       0.0000       
3513.0000    49.4929      23.3856      26.7882      49.1198      14.3813      1696.8633    872.2941     0.0000       86.1838      0.0000       0.0000       
3513.1250    49.7088      23.4076      28.4346      49.2393      14.6486      1076.0587    784.8309     0.0000       86.2830      0.0000       0.0000       
3513.2500    49.5886      23.4297      29.2215      49.1728      15.0073      772.4088     725.4465     0.0000       86.4055      0.0000       0.0000       
3513.3750    49.3226      23.4387      26.5456      49.0255      15.2903      668.3238     671.4360     0.0000       86.5849      0.0000       0.0000       
3513.5000    48.9265      23.4230      22.9598      48.8063      15.3554      555.9966     581.5976     0.0000       86.7069      0.0000       0.0000       
3513.6250    48.8166      23.4013      21.7751      48.7454      15.3573      484.8930     483.1331     0.0000       86.8058      0.0000       0.0000       
3513.7500    48.9791      23.3788      23.4468      48.8354      15.3874      506.9826     433.7355     0.0000       86.9301      0.0000       0.0000       
3513.8750    48.9712      23.3384      23.3493      48.8310      15.4081      660.4185     464.5451     0.0000       87.0124      0.0000       0.0000       
