WELLNAME = well77
STDEP  =  3300.0000    
ENDEP  =  3942.0375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, GR, K, PE, R1, RM, RT, RXO, SGR, SONPHI, SP, TH, TM, U, VSH1

#DEPTH       AC           CAL          CGR          GR           K            PE           R1           RM           RT           RXO          SGR          SONPHI       SP           TH           TM           U            VSH1         
3311.8750    51.1332      21.7721      0.0000       59.7024      0.0000       0.0000       31.7038      0.0000       10256.5342   711.8752     0.0000       0.0000       -20.1457     0.0000       0.0000       0.0000       0.0000       
3312.0000    51.4216      21.7479      0.0000       58.2894      0.0000       0.0000       31.8811      0.0000       10133.1719   655.2333     0.0000       0.0000       -21.7698     0.0000       0.0000       0.0000       0.0000       
3312.1250    50.8059      21.6985      0.0000       57.2298      0.0000       0.0000       32.3612      0.0000       9899.9580    626.5831     0.0000       0.0000       -23.0151     0.0000       0.0000       0.0000       0.0000       
3312.2500    50.3056      21.6744      0.0000       58.0888      0.0000       0.0000       32.1852      0.0000       9467.0283    611.5974     0.0000       0.0000       -24.3236     0.0000       0.0000       0.0000       0.0000       
3312.3750    50.2477      21.6251      0.0000       57.1807      0.0000       0.0000       32.0215      0.0000       8481.3994    628.3610     0.0000       0.0000       -25.9162     0.0000       0.0000       0.0000       0.0000       
3312.5000    50.5746      21.6510      0.0000       55.6162      0.0000       0.0000       31.8074      0.0000       6737.7969    604.2566     0.0000       0.0000       -27.5402     0.0000       0.0000       0.0000       0.0000       
3312.6250    50.9976      21.7525      0.0000       54.3547      0.0000       0.0000       31.6944      0.0000       4828.1836    573.0104     0.0000       0.0000       -28.8486     0.0000       0.0000       0.0000       0.0000       
3312.7500    51.3629      21.8288      0.0000       53.5728      0.0000       0.0000       32.1114      0.0000       4689.3359    549.4911     0.0000       0.0000       -29.7467     0.0000       0.0000       0.0000       0.0000       
3312.8750    50.6510      21.9050      0.0000       54.1794      0.0000       0.0000       31.8974      0.0000       4931.3926    601.4818     0.0000       0.0000       -30.3610     0.0000       0.0000       0.0000       0.0000       
3313.0000    50.0354      22.0064      0.0000       52.4635      0.0000       0.0000       31.4814      0.0000       6154.4478    693.0111     0.0000       0.0000       -30.8648     0.0000       0.0000       0.0000       0.0000       
3313.1250    49.8621      22.1078      0.0000       53.0449      0.0000       0.0000       31.0906      0.0000       9121.4307    811.9739     0.0000       0.0000       -31.3212     0.0000       0.0000       0.0000       0.0000       
3313.2500    50.0735      22.1840      0.0000       51.7582      0.0000       0.0000       30.6873      0.0000       9583.3076    875.6439     0.0000       0.0000       -31.8407     0.0000       0.0000       0.0000       0.0000       
3313.3750    50.4580      22.3357      0.0000       50.2443      0.0000       0.0000       30.2839      0.0000       8755.2324    819.6039     0.0000       0.0000       -32.4548     0.0000       0.0000       0.0000       0.0000       
3313.5000    50.8041      22.4370      0.0000       49.0081      0.0000       0.0000       30.8777      0.0000       8126.4282    784.4992     0.0000       0.0000       -32.9902     0.0000       0.0000       0.0000       0.0000       
3313.6250    51.1694      22.3375      0.0000       49.6904      0.0000       0.0000       31.5219      0.0000       7314.3872    794.0746     0.0000       0.0000       -33.3202     0.0000       0.0000       0.0000       0.0000       
3313.7500    50.5729      22.2128      0.0000       48.6562      0.0000       0.0000       32.0273      0.0000       5992.1826    758.6486     0.0000       0.0000       -33.0508     0.0000       0.0000       0.0000       0.0000       
3313.8750    49.9573      22.0631      0.0000       45.8297      0.0000       0.0000       32.3812      0.0000       4560.6289    730.2258     0.0000       0.0000       -32.0242     0.0000       0.0000       0.0000       0.0000       
3314.0000    49.4571      21.9132      0.0000       44.0129      0.0000       0.0000       32.4070      0.0000       3592.8335    740.5165     0.0000       0.0000       -30.2403     0.0000       0.0000       0.0000       0.0000       
