WELLNAME = well68
STDEP  =  3000.0000    
ENDEP  =  4946.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH          
3014.5000    48.7555      22.3661      18.0248      27.9148      1506.8616    -99999.0000  0.0167       138.2605     0.0573       
3014.6250    48.7861      22.3378      18.1760      28.0665      1768.7148    -99999.0000  0.0170       138.2576     0.0584       
3014.7500    48.6138      22.2973      19.4216      28.1927      1997.8901    -99999.0000  0.0153       138.1908     0.0673       
3014.8750    48.4317      22.2245      19.3438      28.1660      2334.3567    -99999.0000  0.0136       138.0605     0.0667       
3015.0000    48.2691      22.1835      15.5761      28.0501      3037.3193    -99999.0000  0.0121       137.9298     0.0398       
3015.1250    48.1261      22.1808      17.7634      27.9214      3887.4092    -99999.0000  0.0108       137.8949     0.0555       
3015.2500    48.0210      22.1905      20.0267      27.8182      4633.1982    -99999.0000  0.0098       137.8920     0.0716       
3015.3750    47.9069      22.2450      19.8727      27.7277      5683.4199    -99999.0000  0.0087       137.9525     0.0705       
3015.5000    47.8119      22.3120      19.7696      27.7648      6721.3223    -99999.0000  0.0078       138.0130     0.0698       
3015.6250    47.7076      22.3601      22.5927      27.8783      7553.5977    -99999.0000  0.0068       138.1059     0.0899       
3015.7500    47.6221      22.4019      20.8864      28.0427      8453.7227    -99999.0000  0.0060       138.1025     0.0778       
3015.8750    47.5466      22.4246      22.4627      28.2072      8940.1563    -99999.0000  0.0053       138.0997     0.0890       
3016.0000    47.5096      22.4408      21.9524      28.3335      8901.7471    -99999.0000  0.0049       138.0011     0.0854       
3016.1250    47.4633      22.4441      22.6380      28.4215      8855.1602    -99999.0000  0.0045       137.9022     0.0903       
3016.2500    47.4648      22.4730      20.3211      28.5095      8854.3965    -99999.0000  0.0045       137.7719     0.0737       
3016.3750    47.4764      22.5148      22.6353      28.5975      8866.0957    -99999.0000  0.0046       137.6412     0.0903       
3016.5000    47.5166      22.5316      21.6670      28.7364      8898.6523    -99999.0000  0.0050       137.6385     0.0833       
3016.6250    47.5764      22.5289      19.8588      28.9646      9002.9082    -99999.0000  0.0055       137.7308     0.0704       
3016.7500    47.6557      22.5196      20.9008      29.1801      9181.2539    -99999.0000  0.0063       137.8545     0.0779       
