WELLNAME = well118
STDEP  =  3000.0000    
ENDEP  =  4458.8371    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNC, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNC          CNL          DEN          GR           RT           SP           
3009.3750    46.3795      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.0573      315.2658     -99999.0000  
3009.5000    46.8425      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.1951      224.6233     -99999.0000  
3009.6250    47.5274      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.6117      166.8968     -99999.0000  
3009.7500    48.1158      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.9016      123.2677     -99999.0000  
3009.8750    48.6850      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.0547      92.5875      -99999.0000  
3010.0000    48.7503      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.5381      95.3358      -99999.0000  
3010.1250    47.9445      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.7924      114.7425     -99999.0000  
3010.2500    47.1871      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.0468      146.3310     -99999.0000  
3010.3750    46.5461      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.4285      190.4499     -99999.0000  
3010.5000    46.8459      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.7084      253.9243     -99999.0000  
3010.6250    47.4268      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.9221      357.5516     -99999.0000  
3010.7500    48.0854      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.0089      509.3533     -99999.0000  
3010.8750    48.8118      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.7303      737.4241     -99999.0000  
3011.0000    49.5188      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.3911      941.2612     -99999.0000  
3011.1250    50.1484      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.3824      902.5178     -99999.0000  
3011.2500    50.5175      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.6111      759.6134     -99999.0000  
3011.3750    50.8647      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.0687      643.0518     -99999.0000  
3011.5000    51.3664      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.6886      608.8475     -99999.0000  
3011.6250    51.3277      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.2931      578.1873     -99999.0000  
3011.7500    50.9514      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.0756      722.2308     -99999.0000  
3011.8750    51.2312      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.2186      845.8762     -99999.0000  
3012.0000    51.8582      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.9808      972.6603     -99999.0000  
3012.1250    51.5977      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.6161      950.5009     -99999.0000  
3012.2500    51.2407      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.9974      790.2003     -99999.0000  
