WELLNAME = well98
STDEP  =  2800.0000    
ENDEP  =  3837.9984    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, RT, SP

#DEPTH       AC           CAL          GR           RT           SP           
2827.1250    47.9697      22.7638      21.9393      622.8156     146.0139     
2827.2500    48.0261      22.7374      21.4831      679.4296     146.0430     
2827.3750    48.1882      22.6605      21.6321      643.2689     146.0959     
2827.5000    48.4079      22.6341      22.1847      577.7674     146.1566     
2827.6250    48.5508      22.6076      20.7446      605.3313     146.1936     
2827.7500    48.6744      22.5812      19.1782      716.0833     146.2701     
2827.8750    48.7309      22.5549      18.6968      701.9478     146.2913     
2828.0000    48.7201      22.5537      18.8710      741.6310     146.3363     
2828.1250    48.6709      22.5524      19.3479      1096.0806    146.3734     
2828.2500    48.5735      22.5261      19.9004      1125.2239    146.3788     
2828.3750    48.5148      22.5249      20.3521      982.8846     146.3765     
2828.5000    48.5328      22.5487      20.5767      948.5826     146.3742     
2828.6250    48.6757      22.5475      20.2212      961.0638     146.3718     
2828.7500    48.7321      22.5716      20.3450      958.8909     146.3693     
2828.8750    48.7213      22.5703      20.9227      936.4845     146.4139     
2829.0000    48.6334      22.6196      21.2736      904.8659     146.4275     
2829.1250    48.5362      22.6438      21.5235      866.6135     146.4015     
2829.2500    48.4679      22.7183      21.9500      828.4868     146.4150     
2829.3750    48.3610      22.7425      22.0233      783.9623     146.3970     
2829.5000    48.2830      22.7414      22.5004      900.4507     146.3632     
2829.6250    48.2435      22.8411      23.4314      978.6954     146.3528     
2829.7500    48.2519      22.8398      24.3625      1059.6410    146.3032     
2829.8750    48.2890      22.8135      24.7889      1257.5112    146.2378     
2830.0000    48.3646      22.7367      24.3579      1583.7209    146.1487     
2830.1250    48.4691      22.6850      24.7591      1355.7179    146.0754     
2830.2500    48.5928      22.6081      24.9838      1105.8757    146.0336     
2830.3750    48.6493      22.6069      24.2500      917.3676     146.0230     
2830.5000    48.6769      22.5804      23.4151      760.6074     145.9973     
2830.6250    48.6468      22.6297      23.4127      682.1240     145.9159     
2830.7500    48.5880      22.6286      23.4860      686.2731     145.8428     
2830.8750    48.4716      22.7032      23.4081      703.4388     145.8010     
2831.0000    48.3647      22.7272      22.8506      689.7308     145.7669     
2831.1250    48.2579      22.7259      22.1166      616.8738     145.7805     
2831.2500    48.2278      22.7246      21.3575      594.5065     145.7857     
2831.3750    48.3707      22.7993      20.2449      567.0747     145.7599     
2831.5000    48.5807      22.8233      20.6714      501.1156     145.7260     
2831.6250    48.8198      22.8473      21.6279      407.5481     145.6449     
2831.7500    49.1067      22.8715      21.6003      382.9158     145.6189     
2831.8750    49.1247      22.8955      20.9672      366.4697     145.5927     
2832.0000    48.9891      22.9196      21.1162      336.1822     145.5825     
2832.1250    48.9015      22.9435      20.0037      349.9072     145.5564     
2832.2500    49.2076      22.9425      19.1685      303.5345     145.4987     
2832.3750    49.7347      22.9412      19.8979      206.7437     145.4808     
2832.5000    49.6854      22.9399      20.7535      170.9073     145.4312     
2832.6250    49.3961      22.9137      20.8520      178.3611     145.3893     
2832.7500    49.1356      22.8872      20.1685      192.3666     145.2844     
2832.8750    48.8942      22.9366      20.6454      231.8502     145.2029     
2833.0000    48.7969      22.9101      21.3498      337.9434     145.1377     
2833.1250    48.9207      22.8836      22.4067      430.2159     145.0718     
2833.2500    49.2268      22.8321      21.8498      391.5274     145.0061     
2833.3750    49.2640      22.8057      20.5099      349.3522     144.9409     
2833.5000    48.9458      22.7287      20.0533      344.2805     144.8993     
2833.6250    48.6373      22.7024      20.4295      386.2767     144.8655     
2833.7500    48.2806      22.6759      20.0738      406.6838     144.8315     
2833.8750    48.0297      22.6748      21.0052      431.3742     144.7502     
2834.0000    48.0381      22.6483      21.5323      484.9814     144.6296     
2834.1250    48.2483      22.6470      22.0352      466.9615     144.5247     
2834.2500    48.6408      22.6460      22.7141      366.7296     144.4514     
2834.3750    48.9758      22.6449      23.3932      317.4321     144.4095     
2834.5000    49.3492      22.6687      23.9713      275.8916     144.3990     
2834.6250    49.6458      22.6677      24.2720      257.4496     144.3968     
2834.7500    49.7118      22.6917      23.9162      267.2180     144.3945     
2834.8750    49.5570      22.6905      23.1316      263.4034     144.3918     
2835.0000    49.3732      22.7399      22.1955      265.7841     144.3895     
2835.1250    49.2183      22.7134      21.2592      293.3577     144.3875     
2835.2500    49.1115      22.7374      20.4239      348.6328     144.3849     
2835.3750    49.0431      22.7868      20.1693      367.1096     144.3827     
2835.5000    49.0802      22.8108      20.9746      366.6133     144.4035     
2835.6250    49.2328      22.8601      21.9564      382.0112     144.4091     
2835.7500    49.2604      22.8843      22.9383      414.4976     144.4307     
2835.8750    49.1727      22.9335      23.8699      453.9062     144.4126     
2836.0000    49.0850      22.9829      24.8016      423.2316     144.3787     
2836.1250    49.0070      22.9815      25.6575      364.0971     144.2972     
2836.2500    48.9866      22.9804      26.5385      323.4935     144.2476     
2836.3750    49.0239      22.9792      27.3188      290.6885     144.2374     
2836.5000    49.2244      22.9779      28.2001      254.3242     144.1640     
2836.6250    49.6650      22.9769      27.9959      218.2946     144.1143     
2836.7500    50.2401      22.9758      28.0188      183.5345     144.0330     
2836.8750    50.8344      22.9241      27.7389      155.5338     143.9597     
2837.0000    51.1118      22.8975      27.7618      126.6569     143.9178     
2837.1250    51.1970      22.8460      28.6684      104.3211     143.8839     
2837.2500    51.2247      22.8448      27.8833      91.8385      143.8500     
2837.3750    51.2234      22.7932      26.7200      87.9755      143.8159     
2837.5000    51.1934      22.7920      26.5915      83.3616      143.7343     
2837.6250    51.0770      22.7652      25.7057      76.0058      143.6612     
2837.7500    50.7587      22.7644      24.3906      84.6018      143.6194     
2837.8750    50.2486      22.7632      22.7980      100.0013     143.5854     
2838.0000    49.6422      22.7873      21.0790      104.9178     143.5279     
2838.1250    49.1608      22.7862      20.8241      117.2317     143.4388     
2838.2500    48.9387      22.7849      21.3267      164.8778     143.3890     
2838.3750    48.9566      22.7584      21.3495      313.3513     143.3077     
2838.5000    49.1474      22.7319      21.8773      299.9557     143.2579     
2838.6250    49.3385      22.7055      23.1372      270.8095     143.2001     
2838.7500    49.6734      22.6537      24.4984      139.7804     143.1583     
2838.8750    50.0949      22.6528      24.4454      104.0437     143.1003     
2839.0000    50.6699      22.6264      23.7866      90.0837      143.0353     
2839.1250    51.5810      22.6252      22.7745      83.7625      142.9699     
2839.2500    51.3879      22.5986      21.3331      80.6910      142.8569     
2839.3750    51.0985      22.5976      21.5580      85.3949      142.7521     
2839.5000    50.7900      22.5964      21.6566      98.7212      142.6078     
2839.6250    50.4622      22.5700      21.3513      120.9013     142.4001     
2839.7500    50.1345      22.5688      21.6520      152.1923     142.2002     
2839.8750    49.8258      22.5676      21.2960      177.6109     142.0560     
2840.0000    49.6229      22.5662      20.4605      204.1902     141.9508     
2840.1250    49.4585      22.5653      19.5997      214.1097     141.8773     
2840.2500    49.2268      22.5640      20.6073      232.6448     141.7881     
2840.3750    48.9470      22.5629      20.9837      271.7789     141.7859     
2840.5000    48.6577      22.5869      20.1229      341.2355     141.8385     
2840.6250    48.3875      22.6109      18.8328      465.6391     141.8993     
2840.7500    48.2134      22.6097      19.1585      2433.8374    142.0312     
2840.8750    48.2411      22.6339      20.0401      1774.0715    142.1627     
2841.0000    48.3455      22.6326      21.0476      1125.7806    142.2393     
2841.1250    48.4980      22.6315      22.3580      863.9452     142.2999     
2841.2500    48.6505      22.6557      22.2551      665.3713     142.3844     
