WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, RT

#DEPTH       AC           CAL          CNL          GR           RT           
3518.3750    46.7832      22.5178      0.8354       22.7514      2762.2544    
3518.5000    46.8293      22.5213      0.8038       22.0906      2636.9395    
3518.6250    46.8753      22.5239      0.8024       21.9054      3120.1206    
3518.7500    46.9212      22.5265      0.8010       20.1987      3106.4714    
3518.8750    46.8220      22.5299      0.8001       21.3437      2870.2507    
3519.0000    46.6264      22.5331      0.7988       22.2980      3093.4373    
3519.1250    46.4311      22.5369      0.7970       20.1175      2967.1379    
3519.2500    46.2355      22.5399      0.7960       18.3154      2690.8230    
3519.3750    46.0885      22.5422      0.7947       16.5141      2604.9614    
3519.5000    46.0376      22.5460      0.7938       18.7995      2498.4807    
3519.6250    46.1317      22.5491      0.7919       20.5142      2362.9827    
3519.7500    46.1778      22.5514      0.7911       19.4732      2594.8320    
3519.8750    46.1753      22.5544      0.7899       20.4280      2375.1938    
3520.0000    46.2212      22.3762      0.7883       21.3833      2267.5020    
3520.1250    46.2229      22.2320      0.7888       21.2992      2462.7935    
3520.2500    46.0756      22.3010      0.7872       21.5896      2846.8574    
3520.3750    46.2178      22.3680      0.7854       21.2157      2874.5620    
3520.5000    46.3114      22.4351      0.7532       22.2672      3246.3794    
3520.6250    46.4538      22.5343      0.7213       20.3711      3752.5151    
3520.7500    46.4028      22.6020      0.7497       22.1842      3372.0742    
3520.8750    46.2552      22.6054      0.7784       24.1852      4504.2266    
3521.0000    46.1561      22.6084      0.8370       24.4762      6543.5806    
3521.1250    46.1051      22.6440      0.8965       25.5271      6545.7041    
3521.2500    46.2950      22.6798      0.9555       27.5292      4551.1743    
3521.3750    46.4372      22.6832      1.0448       26.7750      2764.2097    
3521.5000    46.4835      22.6866      1.1338       25.2592      2578.3772    
3521.6250    46.5286      22.6901      1.1623       24.4100      2427.4868    
3521.7500    46.4781      22.6937      1.1306       22.6084      2417.0547    
3521.8750    46.3305      22.6975      1.0379       21.8537      3038.6692    
3522.0000    46.2795      22.6697      0.9752       20.9094      3562.1858    
3522.1250    46.4697      22.6418      0.9129       23.4813      3215.8716    
3522.2500    46.5641      22.6454      0.9111       24.0575      3564.7407    
3522.3750    46.7062      22.6495      0.9091       23.6824      3914.4924    
3522.5000    46.7518      22.6532      0.9679       20.3610      4400.1348    
3522.6250    46.6522      22.6568      1.0270       21.6026      5015.8970    
3522.7500    46.4563      22.6606      1.0553       22.3689      5040.9761    
3522.8750    46.3087      22.6638      1.0542       24.7512      4768.1558    
3523.0000    46.1614      22.6353      0.9004       24.6614      4573.8071    
3523.1250    45.9658      22.5766      0.6863       22.0054      3270.3040    
3523.2500    45.8176      22.5175      0.6845       22.7717      2052.1106    
3523.3750    45.8149      22.4889      0.7434       21.1614      1923.0892    
3523.5000    45.8605      22.4609      0.7413       18.5049      1987.5438    
3523.6250    46.0018      22.4013      0.6786       20.2218      1665.3450    
3523.7500    46.0967      22.3728      0.6470       21.0831      1786.6547    
3523.8750    46.1906      22.3445      0.5847       20.0432      2143.8960    
3524.0000    46.2845      22.2536      0.5831       21.9502      1908.5615    
3524.1250    46.3786      22.1945      0.5811       24.7128      1540.5413    
3524.2500    46.3753      22.1666      0.6397       24.0531      1945.8174    
3524.3750    46.3737      22.1385      0.6687       21.3966      2345.7229    
3524.5000    46.2255      22.1104      0.7276       23.0190      2612.2708    
3524.6250    46.1265      22.0515      0.7564       23.0242      3639.0234    
3524.7500    46.1241      22.0234      0.8452       25.7867      5669.9673    
3524.8750    46.1693      22.0260      0.9350       25.1277      6835.3110    
3525.0000    46.2635      21.9977      1.0243       23.0410      7265.1914    
3525.1250    46.3565      21.9701      1.1138       24.5677      6776.4946    
3525.2500    46.4515      21.9741      1.1726       24.9543      4913.5864    
3525.3750    46.5448      21.9775      1.2014       25.8150      4233.8662    
3525.5000    46.6386      21.9810      1.1390       24.3949      3786.7249    
3525.6250    46.6836      21.9844      1.0156       22.6896      4256.5630    
