WELLNAME = well90
STDEP  =  3000.0000    
ENDEP  =  4255.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, GR, K, MSFL, PE, R1, RT, RXO, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR          GR           K            MSFL         PE           R1           RT           RXO          SONPHI       SP           TH           U            VSH1         
3012.6250    64.9919      24.4521      0.0000       49.2276      0.0000       0.0000       0.0000       19.7153      33.7373      38.7265      0.0000       163.2417     0.0000       0.0000       0.0000       
3012.7500    65.7777      24.1898      0.0000       46.7594      0.0000       0.0000       0.0000       20.2877      37.2787      39.6149      0.0000       163.2089     0.0000       0.0000       0.0000       
3012.8750    63.7620      24.0023      0.0000       45.2882      0.0000       0.0000       0.0000       20.9725      44.1379      45.0897      0.0000       163.1764     0.0000       0.0000       0.0000       
3013.0000    60.2319      23.9394      0.0000       47.6048      0.0000       0.0000       0.0000       21.7444      55.6555      62.1836      0.0000       163.1671     0.0000       0.0000       0.0000       
3013.1250    56.9668      23.9761      0.0000       54.1583      0.0000       0.0000       0.0000       20.1798      96.5875      111.2325     0.0000       163.2122     0.0000       0.0000       0.0000       
3013.2500    52.7835      24.0752      0.0000       59.6151      0.0000       0.0000       0.0000       18.1293      158.5401     122.8698     0.0000       163.2731     0.0000       0.0000       0.0000       
3013.3750    52.3105      24.0871      0.0000       58.4180      0.0000       0.0000       0.0000       16.4401      171.1588     118.6637     0.0000       163.3573     0.0000       0.0000       0.0000       
3013.5000    52.4242      23.9992      0.0000       51.9124      0.0000       0.0000       0.0000       15.4052      164.6680     111.5108     0.0000       163.4958     0.0000       0.0000       0.0000       
3013.6250    51.7997      23.8615      0.0000       44.2603      0.0000       0.0000       0.0000       15.6474      167.7409     122.4860     0.0000       163.6501     0.0000       0.0000       0.0000       
3013.7500    50.5789      23.7488      0.0000       39.4742      0.0000       0.0000       0.0000       16.5563      191.9572     153.8828     0.0000       163.8043     0.0000       0.0000       0.0000       
3013.8750    49.3107      23.6735      0.0000       33.1180      0.0000       0.0000       0.0000       17.3034      243.9348     197.8669     0.0000       163.9585     0.0000       0.0000       0.0000       
3014.0000    48.6673      23.5606      0.0000       29.0297      0.0000       0.0000       0.0000       18.0441      347.5408     240.3472     0.0000       164.0660     0.0000       0.0000       0.0000       
3014.1250    49.1596      23.5227      0.0000       29.4023      0.0000       0.0000       0.0000       18.0309      538.1509     162.4142     0.0000       164.1581     0.0000       0.0000       0.0000       
3014.2500    50.2105      23.4598      0.0000       29.3265      0.0000       0.0000       0.0000       17.9430      264.1809     99.5826      0.0000       164.2733     0.0000       0.0000       0.0000       
3014.3750    51.5453      23.3844      0.0000       31.9922      0.0000       0.0000       0.0000       18.3597      96.6556      55.8437      0.0000       164.4428     0.0000       0.0000       0.0000       
3014.5000    52.8044      23.3215      0.0000       33.1127      0.0000       0.0000       0.0000       19.5863      68.7872      47.2610      0.0000       164.6048     0.0000       0.0000       0.0000       
3014.6250    53.9215      23.2711      0.0000       33.4604      0.0000       0.0000       0.0000       20.6388      65.0589      43.0597      0.0000       164.7592     0.0000       0.0000       0.0000       
3014.7500    54.6885      23.4075      0.0000       34.4813      0.0000       0.0000       0.0000       22.0275      61.8771      40.6116      0.0000       165.0069     0.0000       0.0000       0.0000       
3014.8750    55.3134      23.4815      0.0000       38.9414      0.0000       0.0000       0.0000       23.2107      58.7436      39.1973      0.0000       165.2856     0.0000       0.0000       0.0000       
3015.0000    55.9100      23.4933      0.0000       41.1835      0.0000       0.0000       0.0000       23.5091      55.7168      37.6086      0.0000       165.5180     0.0000       0.0000       0.0000       
3015.1250    56.6201      23.4929      0.0000       42.8524      0.0000       0.0000       0.0000       22.9351      53.1407      35.9370      0.0000       165.8045     0.0000       0.0000       0.0000       
3015.2500    57.2167      23.5171      0.0000       44.4964      0.0000       0.0000       0.0000       22.1742      50.7270      35.8563      0.0000       166.0445     0.0000       0.0000       0.0000       
3015.3750    57.1601      23.5415      0.0000       45.6170      0.0000       0.0000       0.0000       21.4196      48.8255      39.4451      0.0000       166.3778     0.0000       0.0000       0.0000       
3015.5000    56.4125      23.5783      0.0000       44.0456      0.0000       0.0000       0.0000       20.7211      51.1795      43.9933      0.0000       166.6569     0.0000       0.0000       0.0000       
3015.6250    55.4851      23.6399      0.0000       42.4745      0.0000       0.0000       0.0000       20.0661      59.7626      50.0026      0.0000       166.9514     0.0000       0.0000       0.0000       
3015.7500    54.6428      23.6891      0.0000       42.7228      0.0000       0.0000       0.0000       19.3365      69.0388      62.9665      0.0000       167.2846     0.0000       0.0000       0.0000       
3015.8750    54.1034      23.7384      0.0000       47.3077      0.0000       0.0000       0.0000       18.5694      86.5120      79.1128      0.0000       167.5792     0.0000       0.0000       0.0000       
3016.0000    53.6587      23.7753      0.0000       47.7304      0.0000       0.0000       0.0000       17.8209      112.6743     86.2545      0.0000       167.9513     0.0000       0.0000       0.0000       
3016.1250    53.7630      23.7870      0.0000       48.7513      0.0000       0.0000       0.0000       17.0849      135.7376     71.4449      0.0000       168.2613     0.0000       0.0000       0.0000       
3016.2500    54.2839      23.7865      0.0000       50.2458      0.0000       0.0000       0.0000       16.6044      123.1673     55.5331      0.0000       168.4470     0.0000       0.0000       0.0000       
3016.3750    55.1077      23.7735      0.0000       51.9397      0.0000       0.0000       0.0000       16.8591      95.0749      47.9368      0.0000       168.6948     0.0000       0.0000       0.0000       
3016.5000    56.2060      23.7105      0.0000       50.4682      0.0000       0.0000       0.0000       17.2448      66.6244      42.5378      0.0000       168.9734     0.0000       0.0000       0.0000       
3016.6250    57.3896      23.6601      0.0000       48.1492      0.0000       0.0000       0.0000       17.9107      58.5300      38.8570      0.0000       169.1824     0.0000       0.0000       0.0000       
3016.7500    58.5731      23.5972      0.0000       48.6216      0.0000       0.0000       0.0000       18.4523      53.0610      35.6986      0.0000       169.4612     0.0000       0.0000       0.0000       
3016.8750    59.1982      23.5592      0.0000       50.6396      0.0000       0.0000       0.0000       19.1869      49.0543      33.1772      0.0000       169.6545     0.0000       0.0000       0.0000       
3017.0000    59.1132      23.5836      0.0000       53.4054      0.0000       0.0000       0.0000       19.6846      48.5493      34.4255      0.0000       169.8787     0.0000       0.0000       0.0000       
3017.1250    58.6874      23.6702      0.0000       55.2239      0.0000       0.0000       0.0000       19.7401      51.9678      36.9697      0.0000       170.0797     0.0000       0.0000       0.0000       
3017.2500    58.4510      23.6447      0.0000       58.0644      0.0000       0.0000       0.0000       19.7642      56.1475      39.7691      0.0000       170.2884     0.0000       0.0000       0.0000       
3017.3750    58.6879      23.5568      0.0000       61.2040      0.0000       0.0000       0.0000       19.8071      57.2755      41.6519      0.0000       170.4117     0.0000       0.0000       0.0000       
3017.5000    60.8750      23.5562      0.0000       61.7514      0.0000       0.0000       0.0000       19.9747      44.3849      38.7001      0.0000       170.5271     0.0000       0.0000       0.0000       
3017.6250    62.8539      23.6927      0.0000       58.6845      0.0000       0.0000       0.0000       20.2232      38.2696      34.0377      0.0000       170.6268     0.0000       0.0000       0.0000       
3017.7500    64.7476      23.7794      0.0000       56.8891      0.0000       0.0000       0.0000       20.4967      33.5216      30.2213      0.0000       170.6954     0.0000       0.0000       0.0000       
3017.8750    66.8591      23.7663      0.0000       59.5552      0.0000       0.0000       0.0000       20.8139      30.7088      27.8342      0.0000       170.7560     0.0000       0.0000       0.0000       
3018.0000    68.6961      24.0897      0.0000       57.5600      0.0000       0.0000       0.0000       21.1933      30.6223      28.2674      0.0000       170.7932     0.0000       0.0000       0.0000       
3018.1250    68.4976      24.6250      0.0000       57.0607      0.0000       0.0000       0.0000       21.5353      32.7873      33.6028      0.0000       170.7999     0.0000       0.0000       0.0000       
3018.2500    62.7227      25.3473      0.0000       57.8324      0.0000       0.0000       0.0000       21.2293      36.6515      37.0311      0.0000       170.8219     0.0000       0.0000       0.0000       
3018.3750    58.5383      25.4962      0.0000       57.3329      0.0000       0.0000       0.0000       19.2906      47.4849      52.8089      0.0000       170.8282     0.0000       0.0000       0.0000       
3018.5000    54.6284      24.6730      0.0000       59.4258      0.0000       0.0000       0.0000       16.1243      107.6018     104.8759     0.0000       170.8264     0.0000       0.0000       0.0000       
3018.6250    52.4889      24.1864      0.0000       57.0070      0.0000       0.0000       0.0000       14.0111      204.1539     190.4512     0.0000       170.8016     0.0000       0.0000       0.0000       
3018.7500    51.6275      23.9739      0.0000       53.2172      0.0000       0.0000       0.0000       13.1442      376.5939     268.2458     0.0000       170.7691     0.0000       0.0000       0.0000       
3018.8750    51.6372      23.9109      0.0000       49.7515      0.0000       0.0000       0.0000       14.2465      881.8465     349.0815     0.0000       170.7362     0.0000       0.0000       0.0000       
3019.0000    52.1581      23.8231      0.0000       47.4074      0.0000       0.0000       0.0000       14.9623      2721.7310    426.9117     0.0000       170.7038     0.0000       0.0000       0.0000       
3019.1250    53.0956      23.8225      0.0000       42.6953      0.0000       0.0000       0.0000       15.2732      2657.3062    655.6076     0.0000       170.6245     0.0000       0.0000       0.0000       
3019.2500    54.1941      23.8593      0.0000       37.1606      0.0000       0.0000       0.0000       15.7086      2333.3877    728.4128     0.0000       170.5762     0.0000       0.0000       0.0000       
3019.3750    55.2547      23.8961      0.0000       35.2899      0.0000       0.0000       0.0000       16.1567      1949.5803    659.7635     0.0000       170.5199     0.0000       0.0000       0.0000       
3019.5000    56.6089      23.9453      0.0000       34.4165      0.0000       0.0000       0.0000       16.8289      882.0902     433.9301     0.0000       170.4794     0.0000       0.0000       0.0000       
3019.6250    58.1240      23.9697      0.0000       34.6647      0.0000       0.0000       0.0000       17.3580      90.9448      95.9029      0.0000       170.4233     0.0000       0.0000       0.0000       
3019.7500    60.3209      24.0065      0.0000       37.4554      0.0000       0.0000       0.0000       18.0989      65.7252      64.7587      0.0000       170.3832     0.0000       0.0000       0.0000       
3019.8750    62.5273      24.0307      0.0000       40.1714      0.0000       0.0000       0.0000       19.0329      54.9826      52.0533      0.0000       170.3504     0.0000       0.0000       0.0000       
3020.0000    64.1656      24.0800      0.0000       43.0372      0.0000       0.0000       0.0000       19.9109      40.0901      35.0100      0.0000       170.2945     0.0000       0.0000       0.0000       
3020.1250    65.5483      24.1542      0.0000       48.8442      0.0000       0.0000       0.0000       21.0507      30.6849      33.0406      0.0000       170.2541     0.0000       0.0000       0.0000       
3020.2500    67.0351      24.0913      0.0000       54.8508      0.0000       0.0000       0.0000       22.4210      29.6421      31.5144      0.0000       170.1979     0.0000       0.0000       0.0000       
