WELLNAME = well52
STDEP  =  3835.0000    
ENDEP  =  4631.8750    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNL          DEN          GR           RT           SP           
3850.8750    63.1267      7.8714       13.4504      2.7204       31.7012      31.9794      214.9444     
3851.0000    62.3989      7.8425       12.9166      2.7237       29.6620      33.8237      214.7859     
3851.1250    61.5903      7.8317       11.9071      2.7527       28.4514      36.1777      214.6433     
3851.2500    60.3774      7.7813       10.9491      2.7323       29.0257      41.6215      214.5165     
3851.3750    59.4879      7.7488       11.0443      2.7344       29.5363      50.3628      214.3898     
3851.5000    59.9731      7.7091       11.4287      2.7258       29.8556      52.0859      214.2632     
3851.6250    60.7008      7.6911       10.9195      2.7452       29.2825      50.3628      214.1365     
3851.7500    60.4582      7.6983       9.9796       2.7344       28.6458      48.9705      214.0257     
3851.8750    59.3262      7.6947       9.6121       2.7226       28.3913      47.8845      213.9149     
3852.0000    58.1941      7.6875       8.8171       2.7140       27.8820      50.3628      213.7881     
3852.1250    56.7386      7.6767       8.5233       2.7065       27.4364      57.2950      213.6614     
3852.2500    56.3342      7.6695       8.2295       2.7021       26.9269      64.8168      213.5506     
3852.3750    55.7682      7.6803       7.8156       2.7021       29.4776      70.9004      213.4556     
3852.5000    55.4448      7.6875       7.5218       2.6796       30.8804      71.2991      213.3131     
3852.6250    55.3639      7.6875       7.2279       2.6634       29.6061      72.9163      213.1864     
3852.7500    56.5768      7.6983       6.9947       2.6516       28.9691      78.8707      213.0914     
3852.8750    59.0836      7.7055       6.8187       2.6452       28.8422      73.7386      212.9965     
3853.0000    61.1860      7.7055       6.7571       2.6419       29.4166      48.9705      212.9332     
3853.1250    62.3181      7.6911       6.6552       2.6237       28.9072      44.5183      212.8066     
3853.2500    61.4286      7.6947       5.4812       2.6118       28.0793      35.9755      212.6958     
3853.3750    58.8410      7.6803       4.8924       2.6151       28.3985      29.0719      212.6167     
3853.5000    54.5553      7.6983       3.2064       2.6699       30.3116      33.8237      212.5218     
3853.6250    52.0485      7.7272       2.3248       2.6882       31.1407      49.8012      212.4744     
3853.7500    50.2695      7.7416       1.9805       2.6806       32.0975      66.2870      212.3953     
3853.8750    48.8140      7.7127       2.4231       2.6914       33.1817      148.6201     212.3004     
3854.0000    50.9973      7.6911       2.9888       2.6978       33.8835      7037.2305    212.2532     
3854.1250    54.2318      7.6298       3.7243       2.6903       34.0116      656.7041     212.2059     
3854.2500    60.2157      7.5974       4.3450       2.6742       34.7134      309.7922     212.1427     
3854.3750    62.1563      7.6046       5.1103       2.6366       32.4192      72.1031      212.1112     
3854.5000    62.3181      7.6118       6.3636       2.6280       32.8023      47.8845      212.0639     
3854.6250    62.8033      7.6190       6.7869       2.6591       34.4603      33.8237      211.9849     
3854.7500    62.0755      7.6478       6.8150       2.6473       37.2019      24.1611      211.9217     
3854.8750    58.5175      7.6587       5.6547       2.6290       40.8359      25.5545      211.8585     
3855.0000    56.3342      7.6659       4.2668       2.6269       42.2389      34.3974      211.7953     
3855.1250    52.7763      7.6623       3.1513       2.6742       43.6421      44.5183      211.7480     
3855.2500    48.9758      7.6514       2.5060       2.6882       44.5350      81.5692      211.7007     
3855.3750    49.1375      7.5721       2.3912       2.7237       45.4917      496.1545     211.6534     
3855.5000    49.7844      7.5649       2.2539       2.7151       38.1616      1203.2539    211.5904     
3855.6250    49.9461      7.5613       1.8128       2.7237       31.9152      772.6584     211.5431     
3855.7500    50.0270      7.5757       1.9330       2.7021       28.8561      755.5217     211.5275     
3855.8750    50.1887      7.5901       2.4287       2.7097       27.0081      831.0796     211.5119     
3856.0000    49.7844      7.6010       2.4779       2.7097       25.4787      840.4514     211.5123     
3856.1250    49.2183      7.5865       2.3371       2.7075       24.3956      817.2170     211.4968     
3856.2500    49.0566      7.5829       2.1676       2.6968       24.3962      898.9453     211.4496     
3856.3750    49.3801      7.5829       2.1222       2.6968       24.7793      977.8196     211.4182     
3856.5000    49.5418      7.6118       2.2191       2.7000       25.0986      1069.5959    211.4185     
3856.6250    49.4609      7.5974       2.1221       2.6989       24.6530      1258.4517    211.4030     
3856.7500    49.7844      7.5865       2.0250       2.7129       24.2074      1637.8921    211.3717     
3856.8750    49.7844      7.6046       1.9004       2.6860       24.3993      1548.5825    211.3401     
3857.0000    49.7844      7.6118       1.7543       2.6785       24.0812      1771.6448    211.3088     
3857.1250    49.6227      7.6154       1.6248       2.6871       23.6993      1981.8816    211.2774     
3857.2500    49.5418      7.6226       1.6259       2.6774       23.1901      2131.7388    211.2459     
3857.3750    49.4609      7.6478       1.6270       2.6699       23.1906      1781.6028    211.1987     
3857.5000    49.6227      7.6514       1.8811       2.6796       23.3823      864.3459     211.1672     
3857.6250    49.6227      7.6298       1.9312       2.6656       23.6378      493.3796     211.1358     
3857.7500    49.7035      7.6082       1.9814       2.6753       22.6187      504.5710     211.1043     
3857.8750    49.7844      7.6118       1.9921       2.6828       22.2367      521.8340     211.0887     
3858.0000    49.6227      7.6370       1.9932       2.6860       24.0859      533.6697     211.0573     
3858.1250    49.7844      7.6298       1.9943       2.6882       25.4889      812.6487     211.0259     
3858.2500    50.7547      7.6298       1.8838       2.7000       26.5094      1927.0918    211.0104     
3858.3750    51.4825      7.6118       1.7671       2.6968       27.0837      306.3374     210.9790     
3858.5000    51.6442      7.6154       1.8239       2.6957       25.9369      225.0465     210.9476     
3858.6250    51.4825      7.6190       1.8785       2.6828       26.7024      231.4450     210.9479     
3858.7500    51.3208      7.6587       1.8796       2.6720       25.6831      231.4450     210.9324     
3858.8750    50.5121      7.6550       1.8807       2.6796       24.7276      273.8413     210.9328     
3859.0000    50.2695      7.6478       1.9635       2.6699       24.5369      1557.2920    210.9490     
3859.1250    51.1590      7.6514       2.1796       2.6849       24.0913      3611.0161    210.9810     
3859.2500    52.6146      7.6550       2.4747       2.7021       23.3270      2425.1565    211.0608     
3859.3750    56.3342      7.6298       2.9013       2.6925       23.0725      2652.7729    211.1723     
3859.5000    57.9515      7.6154       3.5353       2.6667       22.1169      1771.6448    211.3156     
3859.6250    57.9515      7.6046       3.8420       2.6720       21.5438      593.6614     211.4431     
3859.7500    58.3558      7.5974       4.8368       2.6656       22.5006      109.1815     211.5228     
3859.8750    58.2749      7.6190       5.0588       2.6677       23.3301      60.5992      211.6026     
3860.0000    57.2237      7.6010       4.2413       2.6538       23.9042      60.5992      211.6823     
3860.1250    55.6873      7.6226       1.9970       2.6473       24.4148      62.3221      211.7463     
3860.2500    52.6954      7.6298       1.4671       2.6860       24.9892      72.1031      211.8102     
3860.3750    48.4906      7.6334       1.5293       2.7021       25.4997      212.7756     211.8582     
3860.5000    48.8140      7.6226       1.8244       2.7194       26.0740      6397.4336    211.8903     
3860.6250    50.1887      7.6046       2.1199       2.7237       26.1383      542.7222     211.9224     
3860.7500    50.5930      7.6046       2.3781       2.7269       26.3302      217.6016     211.9544     
3860.8750    50.7547      7.6046       2.1904       2.7280       26.3945      222.5373     211.9866     
3861.0000    50.6739      7.6226       1.9707       2.7290       25.5664      225.0465     212.0028     
3861.1250    49.9461      7.6406       1.5938       2.7151       25.5033      236.6944     212.0032     
3861.2500    48.5714      7.6623       1.4210       2.7344       25.9501      412.3440     212.0035     
3861.3750    48.7332      7.6514       1.4221       2.7366       26.3969      3631.3228    212.0038     
3861.5000    48.8140      7.6298       1.3334       2.7495       26.1424      2004.2290    212.0042     
3861.6250    48.8949      7.6082       1.4081       2.7398       26.4619      2192.3433    212.0045     
3861.7500    48.8140      7.6190       1.4801       2.7484       26.9086      1981.8816    212.0049     
3861.8750    48.8140      7.6767       1.6670       2.7430       26.1445      1781.6028    212.0053     
3862.0000    48.6523      7.6587       1.6681       2.7269       25.5711      1761.7354    212.0057     
3862.1250    48.5714      7.6875       1.6314       2.7312       25.6355      2061.2122    212.0061     
3862.2500    48.9758      7.6803       1.5590       2.7355       27.5489      1948.8242    212.0063     
3862.3750    48.9758      7.6731       1.5512       2.7204       28.1228      1842.5591    212.0067     
3862.5000    49.1375      7.6659       1.5523       2.7118       29.9085      1722.6653    212.0071     
3862.6250    49.0566      7.6623       1.5534       2.6882       30.2913      2015.5010    211.9916     
3862.7500    49.6227      7.6731       1.5545       2.6710       31.5030      2015.5010    211.9761     
3862.8750    49.3801      7.6731       1.5556       2.6731       31.9499      2049.6880    211.9605     
3863.0000    50.1078      7.6803       1.6129       2.6806       31.0580      1376.5696    211.9131     
3863.1250    50.1078      7.6947       1.7036       2.6903       30.4851      1112.4124    211.8817     
3863.2500    50.2695      7.6659       1.7783       2.6946       30.2306      1118.6665    211.8661     
3863.3750    50.1887      7.6550       1.6952       2.7011       31.8248      1087.7395    211.8347     
3863.5000    50.5121      7.6442       1.6814       2.6978       31.6343      607.1260     211.8034     
3863.6250    50.4313      7.6442       1.6825       2.7140       31.4435      451.0461     211.7879     
3863.7500    50.4313      7.6406       1.6836       2.7065       31.5077      469.1008     211.7882     
3863.8750    50.5930      7.6334       1.6847       2.7097       34.5045      451.0461     211.7885     
3864.0000    50.5121      7.6587       1.7158       2.7312       37.1186      412.3440     211.7889     
3864.1250    50.0270      7.6550       1.7906       2.7430       39.7328      617.4253     211.7893     
3864.2500    49.9461      7.6623       2.2889       2.7237       41.6457      1016.9631    211.7896     
3864.3750    49.7844      7.6623       2.2495       2.7247       39.3514      879.0090     211.7899     
3864.5000    49.9461      7.7163       2.1771       2.6925       35.7187      940.1863     211.8220     
3864.6250    49.9461      7.7091       2.1720       2.7129       33.6793      1279.8030    211.8541     
3864.7500    50.1078      7.6731       2.1732       2.7118       31.7676      1791.6245    211.8703     
3864.8750    49.5418      7.6767       2.2201       2.7237       30.1108      1548.5825    211.8866     
3865.0000    49.4609      7.6623       2.2777       2.7161       30.3027      1781.6028    211.9188     
3865.1250    49.5418      7.6587       2.2052       2.7065       30.5583      1948.8242    211.9509     
3865.2500    49.4609      7.6659       2.0426       2.7032       29.7303      1970.8008    211.9672     
3865.3750    49.5418      7.6695       1.9701       2.6935       29.2208      2072.8054    211.9993     
3865.5000    49.4609      7.6731       1.8558       2.6828       29.6038      2411.5923    212.0155     
3865.6250    49.6227      7.6226       1.8204       2.6613       31.1981      2682.6926    212.0160     
3865.7500    49.5418      7.6334       1.7297       2.6731       31.8360      2522.2324    212.0163     
3865.8750    49.3801      7.6478       1.6327       2.6968       33.0478      2565.0161    212.0166     
3866.0000    49.2992      7.6442       1.5834       2.6892       34.1958      2579.4351    212.0168     
