WELLNAME = well99
STDEP  =  3500.0000    
ENDEP  =  4670.4375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3510.8750    50.2173      23.8963      15.5269      17.8751      219.1302     183.0573     0.0000       204.7525     0.0000       
3511.0000    49.2331      23.8963      14.3309      18.0244      267.1985     200.6725     0.0000       204.5030     0.0000       
3511.1250    48.2484      23.7964      13.6333      17.9743      421.2740     250.1451     0.0000       204.2533     0.0000       
3511.2500    47.4153      23.7962      14.7288      17.5757      652.1121     272.2096     0.0000       204.0036     0.0000       
3511.3750    46.6576      23.7960      13.9315      16.5293      1368.9440    303.9300     0.0000       203.8164     0.0000       
3511.5000    46.6554      23.6962      13.1341      16.0310      2383.1494    346.9091     0.0000       203.6291     0.0000       
3511.6250    46.9549      23.6959      12.2372      16.4293      2916.5986    367.9314     0.0000       203.3796     0.0000       
3511.7500    47.1792      23.5960      12.4360      16.5287      2853.3320    372.0438     0.0000       203.1300     0.0000       
3511.8750    47.3281      23.5958      12.8343      15.6817      2500.3701    366.6653     0.0000       202.8803     0.0000       
3512.0000    47.4010      23.5956      13.4316      16.1298      2199.1309    358.7154     0.0000       202.6929     0.0000       
3512.1250    47.4742      23.4959      14.0291      16.5281      1991.8562    353.5235     0.0000       202.5056     0.0000       
3512.2500    47.4720      23.4957      14.9254      16.1294      2104.8005    350.9800     0.0000       202.3184     0.0000       
3512.3750    47.3942      23.4954      15.5229      14.8838      2248.7732    361.4766     0.0000       202.1311     0.0000       
3512.5000    47.1649      23.4952      16.2199      15.5810      2429.2332    372.2867     0.0000       201.9438     0.0000       
3512.6250    46.8605      23.4950      15.2234      15.5808      2576.4119    382.0221     0.0000       201.7566     0.0000       
3512.7500    46.7827      23.4947      15.7211      15.6304      2438.6250    377.8773     0.0000       201.5693     0.0000       
3512.8750    47.3848      23.4945      16.2190      16.9752      2168.5823    362.9618     0.0000       201.3819     0.0000       
3513.0000    48.0620      23.4944      16.9160      17.4731      1547.2633    336.0707     0.0000       201.1946     0.0000       
3513.1250    48.5130      23.4941      17.3143      18.2201      1010.8736    284.9384     0.0000       201.0697     0.0000       
3513.2500    48.8129      23.4939      17.0150      17.2735      631.9789     258.0818     0.0000       200.9445     0.0000       
3513.3750    48.8861      23.4936      16.2175      16.0776      436.2639     237.2139     0.0000       200.8195     0.0000       
3513.5000    48.8080      23.4935      15.8188      16.6254      417.5156     234.6409     0.0000       200.6945     0.0000       
3513.6250    48.2769      23.5928      15.5195      17.1234      476.5427     253.4728     0.0000       200.5695     0.0000       
3513.7500    47.7459      23.6922      16.2166      17.3224      598.3865     278.8825     0.0000       200.4445     0.0000       
3513.8750    47.1390      23.6922      17.0133      17.1229      1007.7972    315.9822     0.0000       200.3817     0.0000       
3514.0000    46.7590      23.7914      17.6108      17.3718      2077.0100    359.3394     0.0000       200.3189     0.0000       
3514.1250    47.2855      23.7914      18.3078      16.8236      5890.8354    395.3604     0.0000       200.1939     0.0000       
