WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, CNL, DEN, GR, K, PE, P_AC, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH, VSH1

#DEPTH       AC           CAL          CGR          CNL          DEN          GR           K            PE           P_AC         R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH          VSH1         
3505.8750    51.4931      23.1085      -99999.0000  -99999.0000  -99999.0000  34.4641      -99999.0000  -99999.0000  53.3841      35.8465      3434.0762    5747.1582    -99999.0000  0.0000       117.6775     -99999.0000  -99999.0000  0.0000       0.0000       
3506.0000    51.7338      23.1341      -99999.0000  -99999.0000  -99999.0000  37.8917      -99999.0000  -99999.0000  53.9122      36.3290      2680.3008    4840.9556    -99999.0000  0.0000       117.3208     -99999.0000  -99999.0000  0.0000       0.0000       
3506.1250    52.0035      23.1599      -99999.0000  -99999.0000  -99999.0000  38.7298      -99999.0000  -99999.0000  54.5039      36.4688      2177.7080    4219.0723    -99999.0000  0.0000       116.6627     -99999.0000  -99999.0000  0.0000       0.0000       
3506.2500    52.2636      23.1095      -99999.0000  -99999.0000  -99999.0000  40.8119      -99999.0000  -99999.0000  55.0745      36.3293      1828.7803    3849.8218    -99999.0000  0.0000       115.9570     -99999.0000  -99999.0000  0.0000       0.0000       
3506.3750    52.5333      23.0908      -99999.0000  -99999.0000  -99999.0000  39.6825      -99999.0000  -99999.0000  55.6661      36.4691      1776.4421    3600.5054    -99999.0000  0.0000       115.3068     -99999.0000  -99999.0000  0.0000       0.0000       
3506.5000    52.3785      23.0911      -99999.0000  -99999.0000  -99999.0000  40.3048      -99999.0000  -99999.0000  55.3266      36.2535      1876.4424    3486.5310    -99999.0000  0.0000       114.6487     -99999.0000  -99999.0000  0.0000       0.0000       
3506.6250    52.1563      23.0915      -99999.0000  -99999.0000  -99999.0000  37.2840      -99999.0000  -99999.0000  54.8391      36.1457      1885.1621    3714.8064    -99999.0000  0.0000       114.0303     -99999.0000  -99999.0000  0.0000       0.0000       
3506.7500    51.9630      23.0918      -99999.0000  -99999.0000  -99999.0000  36.7512      -99999.0000  -99999.0000  54.4151      36.3616      1766.5250    3881.5840    -99999.0000  0.0000       113.6419     -99999.0000  -99999.0000  0.0000       0.0000       
3506.8750    51.7118      23.1112      -99999.0000  -99999.0000  -99999.0000  35.8883      -99999.0000  -99999.0000  53.8640      36.5458      1852.8960    3997.1885    -99999.0000  0.0000       113.2059     -99999.0000  -99999.0000  0.0000       0.0000       
3507.0000    51.4799      23.1369      -99999.0000  -99999.0000  -99999.0000  34.0607      -99999.0000  -99999.0000  53.3551      36.5904      2014.3345    3940.1375    -99999.0000  0.0000       112.8968     -99999.0000  -99999.0000  0.0000       0.0000       
