WELLNAME = well60
STDEP  =  3675.0000    
ENDEP  =  4820.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3683.5000    52.9731      25.9628      40.0998      53.9904      19.4979      -99999.0000  -99999.0000  0.0000       150.9831     0.2150       21.4999      
3683.6250    52.5684      25.9764      40.9388      53.6597      19.2698      -99999.0000  -99999.0000  0.0000       150.4449     0.2210       22.0991      
3683.7500    52.8994      25.9773      40.4827      53.9302      19.0671      -99999.0000  -99999.0000  0.0000       149.8906     0.2177       21.7733      
3683.8750    53.0950      25.9783      40.7631      54.0901      18.9026      -99999.0000  -99999.0000  0.0000       149.3521     0.2197       21.9736      
3684.0000    53.1356      25.9794      41.8813      54.1233      18.7127      -99999.0000  -99999.0000  0.0000       148.8772     0.2277       22.7724      
3684.1250    53.1762      25.9802      41.1459      54.1564      18.5735      -99999.0000  -99999.0000  0.0000       148.8310     0.2225       22.2471      
3684.2500    53.1392      25.9810      38.5060      54.1262      18.4470      -99999.0000  -99999.0000  0.0656       149.0863     0.2036       20.3614      
3684.3750    53.0443      25.9695      37.4148      54.0487      18.2825      -99999.0000  -99999.0000  0.0648       149.3894     0.1958       19.5820      
3684.5000    52.8333      25.9577      37.8222      53.8762      18.1053      -99999.0000  -99999.0000  0.0629       149.6286     0.1987       19.8730      
3684.6250    52.6803      25.9332      38.2294      53.7512      17.9914      -99999.0000  -99999.0000  0.0616       149.8359     0.2016       20.1639      
3684.7500    52.5079      25.9088      37.5954      53.6103      17.8649      -99999.0000  -99999.0000  0.0601       150.1228     0.1971       19.7110      
3684.8750    52.3353      25.8970      36.7331      53.4692      17.7385      -99999.0000  -99999.0000  0.0586       150.3779     0.1910       19.0951      
3685.0000    52.1243      25.8855      35.7186      53.2968      17.5867      -99999.0000  -99999.0000  0.0568       150.6491     0.1837       18.3704      
3685.1250    51.9521      25.8865      35.0338      53.1560      17.6380      -99999.0000  -99999.0000  0.0553       150.9362     0.1788       17.8813      
3685.2500    51.7989      25.8871      34.4505      53.0308      17.8417      -99999.0000  -99999.0000  0.0540       151.1595     0.1746       17.4647      
3685.3750    51.6264      25.8879      33.5626      52.8898      18.0328      -99999.0000  -99999.0000  0.0524       151.1289     0.1683       16.8305      
3685.5000    51.4152      25.8889      33.2589      52.7173      18.1474      -99999.0000  -99999.0000  0.0506       150.9397     0.1661       16.6135      
3685.6250    51.2816      25.8898      36.7389      52.6081      18.3384      -99999.0000  -99999.0000  0.0494       150.7982     0.1910       19.0992      
3685.7500    51.6321      25.8907      36.8415      52.8945      18.4785      -99999.0000  -99999.0000  0.0525       150.8154     0.1917       19.1725      
3685.8750    52.2924      25.9044      35.7251      53.4341      18.6823      -99999.0000  -99999.0000  0.0583       151.0706     0.1838       18.3751      
3686.0000    52.0424      25.9181      36.3358      53.2298      18.7843      -99999.0000  -99999.0000  0.0561       151.3892     0.1881       18.8113      
3686.1250    51.6572      25.9063      35.8794      52.9151      18.9880      -99999.0000  -99999.0000  0.0527       151.8192     0.1849       18.4853      
3686.2500    51.3491      25.8692      35.8804      52.6632      19.1408      -99999.0000  -99999.0000  0.0500       152.2649     0.1849       18.4860      
3686.3750    51.5059      25.7686      36.8716      52.7913      19.3190      -99999.0000  -99999.0000  0.0514       152.4247     0.1919       19.1940      
3686.5000    51.9530      25.6046      38.0407      53.1568      19.5228      -99999.0000  -99999.0000  0.0553       152.2354     0.2003       20.0291      
3686.6250    52.1679      25.4658      35.2737      53.3324      19.6756      -99999.0000  -99999.0000  0.0572       151.8240     0.1805       18.0526      
3686.7500    51.6664      25.3650      33.6242      52.9226      19.8031      -99999.0000  -99999.0000  0.0528       151.3809     0.1687       16.8744      
3686.8750    51.2616      25.2138      32.5586      52.5917      19.9687      -99999.0000  -99999.0000  0.0492       150.8111     0.1611       16.1133      
3687.0000    52.3671      25.0625      33.4484      53.4952      20.1470      -99999.0000  -99999.0000  0.0589       150.3679     0.1675       16.7489      
3687.1250    52.7952      24.9746      34.4905      53.8451      20.2617      -99999.0000  -99999.0000  0.0626       149.9564     0.1749       17.4932      
3687.2500    52.6226      24.9247      35.6087      53.7040      20.3511      -99999.0000  -99999.0000  0.0611       149.4497     0.1829       18.2919      
3687.3750    52.4114      24.8874      33.6543      53.5314      20.3262      -99999.0000  -99999.0000  0.0593       149.3239     0.1690       16.8960      
3687.5000    52.1428      24.8629      30.3795      53.3119      20.2251      -99999.0000  -99999.0000  0.0570       149.5633     0.1456       14.5568      
3687.6250    51.9507      24.8638      32.1836      53.1548      19.9718      -99999.0000  -99999.0000  0.0553       149.8978     0.1585       15.8454      
3687.7500    51.6236      24.9029      32.4637      52.8875      19.8452      -99999.0000  -99999.0000  0.0524       149.6610     0.1605       16.0455      
