WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, P_AC, R1, RT, RXO, SONPHI, VSH, VSH1

#DEPTH       AC           CAL          CNL          GR           P_AC         R1           RT           RXO          SONPHI       VSH          VSH1         
3523.2500    45.8176      22.5175      0.6845       22.7717      45.6288      46.5016      2052.1106    2566.9724    0.0082       0.0912       0.0000       
3523.3750    45.8149      22.4889      0.7434       21.1614      45.6252      46.6290      1923.0892    2274.6521    0.0082       0.0797       0.0000       
3523.5000    45.8605      22.4609      0.7413       18.5049      45.6863      46.7573      1987.5438    2395.2451    0.0086       0.0607       0.0000       
3523.6250    46.0018      22.4013      0.6786       20.2218      45.8759      46.7582      1665.3450    2152.3064    0.0100       0.0730       0.0000       
3523.7500    46.0967      22.3728      0.6470       21.0831      46.0033      46.3789      1786.6547    2319.8845    0.0109       0.0792       0.0000       
3523.8750    46.1906      22.3445      0.5847       20.0432      46.1293      45.9997      2143.8960    2770.6970    0.0119       0.0717       0.0000       
3524.0000    46.2845      22.2536      0.5831       21.9502      46.2552      45.7473      1908.5615    2365.3396    0.0128       0.0854       0.0000       
3524.1250    46.3786      22.1945      0.5811       24.7128      46.3815      46.1923      1540.5413    2155.3784    0.0137       0.1051       0.0000       
3524.2500    46.3753      22.1666      0.6397       24.0531      46.3771      46.5738      1945.8174    2634.9626    0.0137       0.1004       0.0000       
3524.3750    46.3737      22.1385      0.6687       21.3966      46.3749      46.7652      2345.7229    3017.7593    0.0137       0.0814       0.0000       
3524.5000    46.2255      22.1104      0.7276       23.0190      46.1762      46.7664      2612.2708    3456.0476    0.0122       0.0930       0.0000       
3524.6250    46.1265      22.0515      0.7564       23.0242      46.0433      46.5139      3639.0234    4324.5845    0.0112       0.0930       0.0000       
3524.7500    46.1241      22.0234      0.8452       25.7867      46.0400      46.2618      5669.9673    5885.5210    0.0112       0.1128       0.0000       
3524.8750    46.1693      22.0260      0.9350       25.1277      46.1008      46.0725      6835.3110    7609.3140    0.0117       0.1081       0.0000       
3525.0000    46.2635      21.9977      1.0243       23.0410      46.2271      45.9466      7265.1914    7164.2461    0.0126       0.0931       0.0000       
3525.1250    46.3565      21.9701      1.1138       24.5677      46.3519      46.0746      6776.4946    6058.8755    0.0135       0.1041       0.0000       
3525.2500    46.4515      21.9741      1.1726       24.9543      46.4793      46.4561      4913.5864    4539.0430    0.0144       0.1068       0.0000       
3525.3750    46.5448      21.9775      1.2014       25.8150      46.6045      46.4573      4233.8662    4059.8213    0.0153       0.1130       0.0000       
3525.5000    46.6386      21.9810      1.1390       24.3949      46.7304      46.2686      3786.7249    3597.3491    0.0163       0.1028       0.0000       
3525.6250    46.6836      21.9844      1.0156       22.6896      46.7908      46.1429      4256.5630    4236.9072    0.0167       0.0906       0.0000       
3525.7500    46.6340      21.9878      0.9229       20.8887      46.7242      46.0170      5277.0547    4989.8193    0.0162       0.0778       0.0000       
3525.8750    46.4859      21.9921      0.8908       22.0352      46.5255      45.9551      6759.3403    5328.4292    0.0148       0.0860       0.0000       
3526.0000    46.4831      21.9965      0.9492       22.7064      46.5218      45.8926      6074.1851    5063.9536    0.0147       0.0908       0.0000       
