WELLNAME = well121
STDEP  =  3000.0000    
ENDEP  =  4019.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          CNL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3021.7500    50.8277      20.0893      0.7082       46.8015      49.2742      23.3336      566.4919     685.7480     0.0000       0.0000       0.0000       0.0000       
3021.8750    50.9546      20.1335      0.3870       47.7526      49.3066      23.6888      717.8385     827.9746     0.0000       0.0000       0.0000       0.0000       
3022.0000    50.9728      20.1649      0.0302       46.4436      49.3112      24.0186      885.5195     969.3476     0.0000       0.0000       0.0000       0.0000       
3022.1250    50.7734      20.1711      -0.0709      46.2052      49.2604      24.3738      1009.3760    1108.1613    0.0000       0.0000       0.0000       0.0000       
3022.2500    50.3020      20.1900      -0.0649      44.0041      49.1402      24.9067      960.2896     1106.7000    0.0000       0.0000       0.0000       0.0000       
3022.3750    49.7401      20.2151      -0.0351      41.4460      48.9969      25.0462      690.5431     763.9517     0.0000       0.0000       0.0000       0.0000       
3022.5000    49.1599      20.2403      0.0125       38.7095      48.8489      25.3126      562.7261     642.8322     0.0000       0.0000       0.0000       0.0000       
3022.6250    48.7611      20.2846      0.0482       36.2703      48.7472      25.6297      474.7456     584.5015     0.0000       0.0000       0.0000       0.0000       
3022.7500    48.5436      20.3160      0.1255       34.3666      48.6918      25.8200      454.2691     507.7719     0.0000       0.0000       0.0000       0.0000       
3022.8750    48.7068      20.3412      0.1612       34.1282      48.7334      26.0484      518.8429     561.6899     0.0000       0.0000       0.0000       0.0000       
3023.0000    49.3594      20.3664      0.1077       35.2578      48.8998      26.2640      674.6533     698.6779     0.0000       0.0000       0.0000       0.0000       
3023.1250    50.3928      20.3726      0.0245       36.3279      49.1633      26.5304      870.2949     849.8260     0.0000       0.0000       0.0000       0.0000       
