WELLNAME = well92
STDEP  =  3000.0000    
ENDEP  =  4553.7051    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR_DM, GR, K, MSFL, PE, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR_DM       GR           K            MSFL         PE           R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH1         
3005.6250    -99999.0000  24.3634      0.0000       24.3832      0.0000       0.0000       0.0000       12.4614      -99999.0000  -99999.0000  0.0000       0.0000       67.6405      0.0000       0.0000       0.0000       
3005.7500    -99999.0000  24.4007      0.0000       25.2440      0.0000       0.0000       0.0000       11.9669      -99999.0000  -99999.0000  0.0000       0.0000       67.5843      0.0000       0.0000       0.0000       
3005.8750    -99999.0000  24.3999      0.0000       26.1554      0.0000       0.0000       0.0000       11.4281      -99999.0000  -99999.0000  0.0000       0.0000       67.5281      0.0000       0.0000       0.0000       
3006.0000    -99999.0000  24.3993      0.0000       25.2931      0.0000       0.0000       0.0000       10.6865      -99999.0000  -99999.0000  0.0000       0.0000       67.4637      0.0000       0.0000       0.0000       
3006.1250    -99999.0000  24.3859      0.0000       24.6336      0.0000       0.0000       0.0000       10.4328      -99999.0000  -99999.0000  0.0000       0.0000       67.3755      0.0000       0.0000       0.0000       
3006.2500    -99999.0000  24.3471      0.0000       25.4690      0.0000       0.0000       0.0000       10.7111      -99999.0000  -99999.0000  0.0000       0.0000       67.3272      0.0000       0.0000       0.0000       
3006.3750    -99999.0000  24.3084      0.0000       26.5324      0.0000       0.0000       0.0000       10.9514      -99999.0000  -99999.0000  0.0000       0.0000       67.2708      0.0000       0.0000       0.0000       
3006.5000    -99999.0000  24.2696      0.0000       24.1245      0.0000       0.0000       0.0000       11.2994      -99999.0000  -99999.0000  0.0000       0.0000       67.2063      0.0000       0.0000       0.0000       
3006.6250    -99999.0000  24.2181      0.0000       24.6558      0.0000       0.0000       0.0000       11.6664      -99999.0000  -99999.0000  0.0000       0.0000       67.1659      0.0000       0.0000       0.0000       
3006.7500    -99999.0000  24.1414      0.0000       23.8189      0.0000       0.0000       0.0000       12.0588      -99999.0000  -99999.0000  0.0000       0.0000       67.0857      0.0000       0.0000       0.0000       
3006.8750    -99999.0000  24.0647      0.0000       22.6526      0.0000       0.0000       0.0000       11.9254      -99999.0000  -99999.0000  0.0000       0.0000       66.9896      0.0000       0.0000       0.0000       
3007.0000    -99999.0000  24.0005      0.0000       21.4356      0.0000       0.0000       0.0000       11.6843      -99999.0000  -99999.0000  0.0000       0.0000       66.8936      0.0000       0.0000       0.0000       
3007.1250    -99999.0000  23.9112      0.0000       20.2946      0.0000       0.0000       0.0000       11.6649      -99999.0000  -99999.0000  0.0000       0.0000       66.7977      0.0000       0.0000       0.0000       
3007.2500    -99999.0000  23.8218      0.0000       21.5101      0.0000       0.0000       0.0000       11.8355      -99999.0000  -99999.0000  0.0000       0.0000       66.7255      0.0000       0.0000       0.0000       
3007.3750    -99999.0000  23.7577      0.0000       22.9790      0.0000       0.0000       0.0000       12.0632      -99999.0000  -99999.0000  0.0000       0.0000       66.6138      0.0000       0.0000       0.0000       
3007.5000    -99999.0000  23.7316      0.0000       22.4968      0.0000       0.0000       0.0000       12.3669      -99999.0000  -99999.0000  0.0000       0.0000       66.4859      0.0000       0.0000       0.0000       
3007.6250    -99999.0000  23.7310      0.0000       21.7105      0.0000       0.0000       0.0000       12.7022      -99999.0000  -99999.0000  0.0000       0.0000       66.3582      0.0000       0.0000       0.0000       
3007.7500    -99999.0000  23.7301      0.0000       21.4817      0.0000       0.0000       0.0000       13.1389      -99999.0000  -99999.0000  0.0000       0.0000       66.2545      0.0000       0.0000       0.0000       
3007.8750    -99999.0000  23.7800      0.0000       20.4674      0.0000       0.0000       0.0000       13.5755      -99999.0000  -99999.0000  0.0000       0.0000       66.1346      0.0000       0.0000       0.0000       
3008.0000    -99999.0000  23.7920      0.0000       19.1491      0.0000       0.0000       0.0000       13.8856      -99999.0000  -99999.0000  0.0000       0.0000       66.0545      0.0000       0.0000       0.0000       
3008.1250    -99999.0000  23.8293      0.0000       17.5773      0.0000       0.0000       0.0000       14.2273      -99999.0000  -99999.0000  0.0000       0.0000       65.9428      0.0000       0.0000       0.0000       
3008.2500    -99999.0000  23.8539      0.0000       16.5377      0.0000       0.0000       0.0000       14.4423      -99999.0000  -99999.0000  0.0000       0.0000       65.8389      0.0000       0.0000       0.0000       
3008.3750    -99999.0000  23.9038      0.0000       17.4238      0.0000       0.0000       0.0000       12.7315      -99999.0000  -99999.0000  0.0000       0.0000       65.7188      0.0000       0.0000       0.0000       
3008.5000    -99999.0000  23.9285      0.0000       18.3099      0.0000       0.0000       0.0000       12.9148      -99999.0000  -99999.0000  0.0000       0.0000       65.6626      0.0000       0.0000       0.0000       
3008.6250    -99999.0000  23.9910      0.0000       19.2213      0.0000       0.0000       0.0000       13.1045      -99999.0000  -99999.0000  0.0000       0.0000       65.5825      0.0000       0.0000       0.0000       
3008.7500    -99999.0000  24.0409      0.0000       20.3860      0.0000       0.0000       0.0000       13.3448      -99999.0000  -99999.0000  0.0000       0.0000       65.5103      0.0000       0.0000       0.0000       
3008.8750    -99999.0000  24.0782      0.0000       20.8414      0.0000       0.0000       0.0000       13.5914      -99999.0000  -99999.0000  0.0000       0.0000       65.4221      0.0000       0.0000       0.0000       
3009.0000    -99999.0000  24.1156      0.0000       19.7511      0.0000       0.0000       0.0000       13.8444      -99999.0000  -99999.0000  0.0000       0.0000       65.3498      0.0000       0.0000       0.0000       
3009.1250    -99999.0000  24.1527      0.0000       19.2435      0.0000       0.0000       0.0000       14.1418      -99999.0000  -99999.0000  0.0000       0.0000       65.2856      0.0000       0.0000       0.0000       
3009.2500    -99999.0000  24.1902      0.0000       20.2057      0.0000       0.0000       0.0000       14.4581      -99999.0000  -99999.0000  0.0000       0.0000       65.1976      0.0000       0.0000       0.0000       
3009.3750    -99999.0000  24.2146      0.0000       21.6239      0.0000       0.0000       0.0000       13.7736      -99999.0000  -99999.0000  0.0000       0.0000       65.1013      0.0000       0.0000       0.0000       
3009.5000    -99999.0000  24.2393      0.0000       22.7380      0.0000       0.0000       0.0000       12.9244      -99999.0000  -99999.0000  0.0000       0.0000       65.0053      0.0000       0.0000       0.0000       
3009.6250    -99999.0000  24.2765      0.0000       23.7762      0.0000       0.0000       0.0000       12.0498      -99999.0000  -99999.0000  0.0000       0.0000       64.9090      0.0000       0.0000       0.0000       
3009.7500    -99999.0000  24.2885      0.0000       25.0930      0.0000       0.0000       0.0000       12.0367      -99999.0000  -99999.0000  0.0000       0.0000       64.8607      0.0000       0.0000       0.0000       
